;FAIXA ETÁRIA;SEXO;COR/RAÇA;SITUAÇÃO DE CONCLUSÃO;IDIOMA;RENDA;NOTA_CN;NOTA_MT;NOTA_CH;NOTA_LC;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO;NOTAS
182;1;0;1;0;1;1;434.1;663.2;490.6;494.8;140.0;160.0;140.0;160.0;200.0;800.0;576.54
183;1;0;5;0;0;2;458.9;407.1;454.8;428.5;100.0;120.0;100.0;120.0;60.0;500.0;449.86
184;1;0;4;0;1;2;527.6;463.6;554.0;505.4;120.0;120.0;120.0;140.0;100.0;600.0;530.12
185;10;0;1;1;0;2;561.0;516.3;598.0;564.3;120.0;140.0;120.0;120.0;140.0;640.0;575.92
186;5;0;4;1;1;2;643.9;662.8;666.5;590.5;140.0;200.0;160.0;180.0;160.0;840.0;680.74
187;0;0;4;0;1;2;445.7;432.9;516.7;517.4;120.0;120.0;120.0;120.0;80.0;560.0;494.5400000000001
188;0;1;5;0;0;1;451.2;500.8;406.2;381.5;100.0;120.0;120.0;120.0;80.0;540.0;455.94
189;1;0;4;1;1;11;616.6;515.6;630.4;531.1;160.0;180.0;180.0;200.0;200.0;920.0;642.74
190;1;0;4;1;0;2;495.9;530.8;547.7;543.6;160.0;200.0;180.0;200.0;180.0;920.0;607.6
191;2;1;4;1;1;2;444.5;418.4;452.6;466.9;120.0;140.0;80.0;120.0;140.0;600.0;476.48
192;5;1;4;1;0;1;377.3340238649283;468.60155392766296;417.5;441.5;80.0;120.0;100.0;80.0;120.0;500.0;271.8
193;2;1;5;1;1;1;430.8;585.4;459.5;567.7;120.0;160.0;100.0;120.0;140.0;640.0;536.6800000000001
194;2;0;1;1;1;5;515.6;435.3;452.0;515.7;120.0;200.0;140.0;120.0;200.0;780.0;539.72
195;0;1;4;0;0;1;475.5;599.4;506.5;531.3;140.0;200.0;140.0;180.0;200.0;860.0;594.54
