NOTA_CN;NOTA_CH;NOTA_LC;NOTA_MT;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO
396.5;453.8;379.3;496.6;120.0;160.0;120.0;120.0;80.0;600.0
492.9;552.8;509.7;522.7;140.0;180.0;120.0;140.0;180.0;760.0
640.1;685.8;600.5;828.5;160.0;200.0;180.0;160.0;200.0;900.0
566.0;434.1;449.7;439.0;0.0;0.0;0.0;0.0;0.0;0.0
582.1;607.7;516.9;632.4;160.0;200.0;160.0;180.0;200.0;900.0
371.0;349.5;353.5;383.3;60.0;120.0;80.0;100.0;0.0;360.0
609.7;586.3;552.1;610.7;140.0;200.0;140.0;140.0;180.0;800.0
490.8;519.0;535.7;531.5;100.0;120.0;120.0;120.0;100.0;560.0
448.4;440.8;437.5;669.6;160.0;200.0;180.0;160.0;180.0;880.0
408.3;358.6;369.1;450.9;60.0;120.0;80.0;120.0;80.0;460.0
367.9;0.0;0.0;375.2;0.0;0.0;0.0;0.0;0.0;0.0
576.9;557.7;528.4;480.7;180.0;200.0;180.0;200.0;180.0;940.0
565.8;494.0;558.2;434.4;120.0;120.0;100.0;120.0;160.0;620.0
697.8;733.7;668.1;886.2;160.0;200.0;160.0;180.0;200.0;900.0
713.1;702.3;652.2;832.4;160.0;200.0;160.0;200.0;180.0;900.0
453.6;478.4;413.9;431.5;160.0;180.0;120.0;120.0;80.0;660.0
480.1;583.6;585.2;600.0;160.0;200.0;120.0;180.0;160.0;820.0
567.7;584.7;537.0;567.8;140.0;120.0;140.0;180.0;180.0;760.0
398.7;349.1;410.9;390.8;80.0;100.0;80.0;120.0;80.0;460.0
622.7;614.0;516.2;621.3;160.0;200.0;160.0;200.0;180.0;900.0
367.3;394.1;423.0;477.7;120.0;120.0;100.0;120.0;0.0;460.0
483.8;564.2;535.7;666.9;120.0;120.0;120.0;120.0;120.0;600.0
605.5;616.6;550.6;778.9;160.0;140.0;180.0;160.0;160.0;800.0
